laredo-w                  27   28   -100  -99   NG14-02W
laredo-e                  27   28    -99  -98   NG14-02E
corpus_christi-w          27   28    -98  -97   NG14-03W
corpus_christi-e          27   28    -97  -96   NG14-03E
mcallen-w                 26   27   -100  -99   NG14-05W
mcallen-e                 26   27    -99  -98   NG14-05E
port_isabel-w             26   27    -98  -97   NG14-06W
brownsville-w             25   26    -98  -97   NG14-09W
saint_petersburg-e        27   28    -83  -82   NG17-01E
fort_pierce-w             27   28    -82  -81   NG17-02W
fort_pierce-e             27   28    -81  -80   NG17-02E
charlotte_harbor-e        26   27    -83  -82   NG17-04E
west_palm_beach-w         26   27    -82  -81   NG17-05W
west_palm_beach-e         26   27    -81  -80   NG17-05E
miami-w                   25   26    -82  -81   NG17-08W
miami-e                   25   26    -81  -80   NG17-08E
key_west-w                24   25    -82  -81   NG17-11W
key_west-e                24   25    -81  -80   NG17-11E
lukeville-w               31   32   -114 -113   NH12-01W
lukeville-e               31   32   -113 -112   NH12-01E
nogales-w                 31   32   -112 -111   NH12-02W
nogales-e                 31   32   -111 -110   NH12-02E
douglas-w                 31   32   -110 -109   NH12-03W
douglas-e                 31   32   -109 -108   NH12-03E
el_paso-w                 31   32   -108 -107   NH13-01W
el_paso-e                 31   32   -107 -106   NH13-01E
van_horn-w                31   32   -106 -105   NH13-02W
van_horn-e                31   32   -105 -104   NH13-02E
pecos-w                   31   32   -104 -103   NH13-03W
pecos-e                   31   32   -103 -102   NH13-03E
marfa-w                   30   31   -106 -105   NH13-05W
marfa-e                   30   31   -105 -104   NH13-05E
fort_stockton-w           30   31   -104 -103   NH13-06W
fort_stockton-e           30   31   -103 -102   NH13-06E
presidio-e                29   30   -105 -104   NH13-08E
emory_peak-w              29   30   -104 -103   NH13-09W
emory_peak-e              29   30   -103 -102   NH13-09E
san_angelo-w              31   32   -102 -101   NH14-01W
san_angelo-e              31   32   -101 -100   NH14-01E
brownwood-w               31   32   -100  -99   NH14-02W
brownwood-e               31   32    -99  -98   NH14-02E
waco-w                    31   32    -98  -97   NH14-03W
waco-e                    31   32    -97  -96   NH14-03E
sonora-w                  30   31   -102 -101   NH14-04W
sonora-e                  30   31   -101 -100   NH14-04E
llano-w                   30   31   -100  -99   NH14-05W
llano-e                   30   31    -99  -98   NH14-05E
austin-w                  30   31    -98  -97   NH14-06W
austin-e                  30   31    -97  -96   NH14-06E
del_rio-w                 29   30   -102 -101   NH14-07W
del_rio-e                 29   30   -101 -100   NH14-07E
san_antonio-w             29   30   -100  -99   NH14-08W
san_antonio-e             29   30    -99  -98   NH14-08E
seguin-w                  29   30    -98  -97   NH14-09W
seguin-e                  29   30    -97  -96   NH14-09E
eagle_pass-e              28   29   -101 -100   NH14-10E
crystal_city-w            28   29   -100  -99   NH14-11W
crystal_city-e            28   29    -99  -98   NH14-11E
beeville-w                28   29    -98  -97   NH14-12W
beeville-e                28   29    -97  -96   NH14-12E
palestine-w               31   32    -96  -95   NH15-01W
palestine-e               31   32    -95  -94   NH15-01E
alexandria-w              31   32    -94  -93   NH15-02W
alexandria-e              31   32    -93  -92   NH15-02E
natchez-w                 31   32    -92  -91   NH15-03W
natchez-e                 31   32    -91  -90   NH15-03E
beaumont-w                30   31    -96  -95   NH15-04W
beaumont-e                30   31    -95  -94   NH15-04E
lake_charles-w            30   31    -94  -93   NH15-05W
lake_charles-e            30   31    -93  -92   NH15-05E
baton_rouge-w             30   31    -92  -91   NH15-06W
baton_rouge-e             30   31    -91  -90   NH15-06E
houston-w                 29   30    -96  -95   NH15-07W
houston-e                 29   30    -95  -94   NH15-07E
port_arthur-w             29   30    -94  -93   NH15-08W
port_arthur-e             29   30    -93  -92   NH15-08E
new_orleans-w             29   30    -92  -91   NH15-09W
new_orleans-e             29   30    -91  -90   NH15-09E
bay_city-w                28   29    -96  -95   NH15-10W
hattiesburg-w             31   32    -90  -89   NH16-01W
hattiesburg-e             31   32    -89  -88   NH16-01E
andalusia-w               31   32    -88  -87   NH16-02W
andalusia-e               31   32    -87  -86   NH16-02E
dothan-w                  31   32    -86  -85   NH16-03W
dothan-e                  31   32    -85  -84   NH16-03E
mobile-w                  30   31    -90  -89   NH16-04W
mobile-e                  30   31    -89  -88   NH16-04E
pensacola-w               30   31    -88  -87   NH16-05W
pensacola-e               30   31    -87  -86   NH16-05E
tallahassee-w             30   31    -86  -85   NH16-06W
tallahassee-e             30   31    -85  -84   NH16-06E
breton_sound-w            29   30    -90  -89   NH16-07W
breton_sound-e            29   30    -89  -88   NH16-07E
apalachicola-w            29   30    -86  -85   NH16-09W
apalachicola-e            29   30    -85  -84   NH16-09E
waycross-w                31   32    -84  -83   NH17-01W
waycross-e                31   32    -83  -82   NH17-01E
brunswick-w               31   32    -82  -81   NH17-02W
brunswick-e               31   32    -81  -80   NH17-02E
valdosta-w                30   31    -84  -83   NH17-04W
valdosta-e                30   31    -83  -82   NH17-04E
jacksonville-w            30   31    -82  -81   NH17-05W
gainesville-w             29   30    -84  -83   NH17-07W
gainesville-e             29   30    -83  -82   NH17-07E
daytona_beach-w           29   30    -82  -81   NH17-08W
daytona_beach-e           29   30    -81  -80   NH17-08E
tarpon_springs-e          28   29    -83  -82   NH17-10E
orlando-w                 28   29    -82  -81   NH17-11W
orlando-e                 28   29    -81  -80   NH17-11E
san_luis_obispo-w         35   36   -122 -121   NI10-03W
san_luis_obispo-e         35   36   -121 -120   NI10-03E
santa_maria-e             34   35   -121 -120   NI10-06E
santa_rosa_island-e       33   34   -121 -120   NI10-09E
bakersfield-w             35   36   -120 -119   NI11-01W
bakersfield-e             35   36   -119 -118   NI11-01E
trona-w                   35   36   -118 -117   NI11-02W
trona-e                   35   36   -117 -116   NI11-02E
kingman-w                 35   36   -116 -115   NI11-03W
kingman-e                 35   36   -115 -114   NI11-03E
los_angeles-w             34   35   -120 -119   NI11-04W
los_angeles-e             34   35   -119 -118   NI11-04E
san_bernardino-w          34   35   -118 -117   NI11-05W
san_bernardino-e          34   35   -117 -116   NI11-05E
needles-w                 34   35   -116 -115   NI11-06W
needles-e                 34   35   -115 -114   NI11-06E
